Access Prompt	gcr-prompter
Bureau	xfce-backdrop-settings
Client de messagerie	xfce4-mail-reader
Créer un lanceur sur le tableau de bord	panel-desktop-handler
Exécuter le programme…	xfce4-run
Feh	feh
Gestionnaire de fichiers	xfce4-file-manager
GTK+ Demo	gtk3-demo
Help	yelp
Icon Browser	gtk3-icon-browser
LibreOffice XSLT based filters	libreoffice-xsltfilter
Liste des applications	xfce4-appfinder
Livepatch	software-properties-livepatch
OpenJDK Java 11 Runtime	openjdk-11-java
Print Preview	org.gnome.Evince-previewer
Python (v3.9)	python3.9
RealTimeSync	RealTimeSync
UXTerm	debian-uxterm
View file	gcr-viewer
Widget Factory	gtk3-widget-factory
XTerm	debian-xterm
Accessibilité	xfce4-accessibility-settings
Additional Drivers	software-properties-drivers
Affichage	xfce-display-settings
Aide	xfhelp4
Apparence	xfce-ui-settings
Applications par défaut	xfce4-mime-settings
AppList	applist
Audacious	audacious
Audacity	audacity
Capture d’écran	xfce4-screenshooter
Character Map	gucharmap
Clavier	xfce-keyboard-settings
Contrôle du volume PulseAudio	pavucontrol
dconf Editor	ca.desrt.dconf-editor
Disques et médias amovibles	thunar-volman-settings
Document Viewer	org.gnome.Evince
Déconnexion	xfce4-session-logout
Espaces de travail	xfce-workspaces-settings
Fileman	fileman
FreeFileSync	FreeFileSync
Geany	geany
Gestionnaire d'archives Engrampa	engrampa
Gestionnaire de fenêtres	xfce-wm-settings
Gestionnaire de fichiers Thunar	thunar
Gestionnaire de paramètres	xfce-settings-manager
Gestionnaire de tâches	xfce4-taskmanager
GNU Image Manipulation Program	gimp
GParted	gparted
Htop	htop
Informations et Benchmarks du Système	hardinfo
Lecteur multimédia mpv	mpv
Lecteur multimédia VLC	vlc
LibreOffice	libreoffice-startcenter
LibreOffice Base	libreoffice-base
LibreOffice Calc	libreoffice-calc
LibreOffice Draw	libreoffice-draw
LibreOffice Impress	libreoffice-impress
LibreOffice Math	libreoffice-math
LibreOffice Writer	libreoffice-writer
MediaInfo	mediainfo-gui
MKVToolNix GUI	org.bunkus.mkvtoolnix-gui
mpvcmd	mpvcmd
Navigateur Web	xfce4-web-browser
Navigateur Web Firefox	firefox
nomacs	nomacs
Notifications	xfce4-notifyd-config
Paramètres du gestionnaire de fichiers	thunar-settings
Paramètres du terminal Xfce	xfce4-terminal-settings
Peaufinage des fenêtres	xfce-wmtweaks-settings
Pidgin Internet Messenger	pidgin
Profils de couleur	xfce4-color-settings
qBittorrent	org.qbittorrent.qBittorrent
Qt 5 Assistant	assistant-qt5
Qt 5 Designer	designer-qt5
Qt 5 Linguist	linguist-qt5
Qt Creator	org.qt-project.qtcreator
Renommer en masse	thunar-bulk-rename
Session et démarrage	xfce-session-settings
Software & Updates	software-properties-gtk
Son	settings-hardware-sound
Souris et pavé tactile	xfce-mouse-settings
Tableau de bord	panel-preferences
Terminal Xfce	xfce4-terminal
TeXInfo	info
Éditeur de paramètres	xfce4-settings-editor
Émulateur de terminal	xfce4-terminal-emulator
